Page ID,Model Name,Ground Truth,OCR Text,Edit Distance
107907,OpenSeg / V-01.05.01.00,वर्णविचार।,मे।?,10
107907,OpenSeg / V-01.05.01.00,११,वर्णयिचार।,10
107907,OpenSeg / V-01.05.01.00,है,११,2
107907,OpenSeg / V-01.05.01.00,या,है,2
107907,OpenSeg / V-01.05.01.00,अगल,या,3
107907,OpenSeg / V-01.05.01.00,बगल,अगल,1
107907,OpenSeg / V-01.05.01.00,और,यगल,3
107907,OpenSeg / V-01.05.01.00,"है,",है,1
107907,OpenSeg / V-01.05.01.00,"लज्जा,","लन्ता,",2
107907,OpenSeg / V-01.05.01.00,रज्जू।,र्जू।,1
107907,OpenSeg / V-01.05.01.00,"क,ट,ड,","क,",4
107907,OpenSeg / V-01.05.01.00,ढ,"ट,",2
107907,OpenSeg / V-01.05.01.00,के,"इ,",2
107907,OpenSeg / V-01.05.01.00,साथ,क,3
107907,OpenSeg / V-01.05.01.00,जय,के,2
107907,OpenSeg / V-01.05.01.00,य,साथ,3
107907,OpenSeg / V-01.05.01.00,जुड़ता,जय,5
107907,OpenSeg / V-01.05.01.00,"है,",य,3
107907,OpenSeg / V-01.05.01.00,तब,ज़ुड़ता,6
107907,OpenSeg / V-01.05.01.00,उनके,"है,",4
107907,OpenSeg / V-01.05.01.00,रूप,तघ,3
107907,OpenSeg / V-01.05.01.00,इस,उनके,4
107907,OpenSeg / V-01.05.01.00,प्रकार,रूप,5
107907,OpenSeg / V-01.05.01.00,होते,स,4
107907,OpenSeg / V-01.05.01.00,"हैं:--पप,",प्रकार,9
107907,OpenSeg / V-01.05.01.00,"ट्य,",होते,4
107907,OpenSeg / V-01.05.01.00,"टन,","है-य,",4
107907,OpenSeg / V-01.05.01.00,"इय,","ट्य,",2
107907,OpenSeg / V-01.05.01.00,ढ्य।,"ठ,",4
107907,OpenSeg / V-01.05.01.00,जय,"इय,",2
107907,OpenSeg / V-01.05.01.00,ण,दय,2
107907,OpenSeg / V-01.05.01.00,किसी,जय,4
107907,OpenSeg / V-01.05.01.00,अन्य,ण,4
107907,OpenSeg / V-01.05.01.00,व्यञ्जनसे,किसी,8
107907,OpenSeg / V-01.05.01.00,मिल,अन्य,4
107907,OpenSeg / V-01.05.01.00,जाता,व्यनसे,6
107907,OpenSeg / V-01.05.01.00,"है,",मिल,3
107907,OpenSeg / V-01.05.01.00,तब,जाता,3
107907,OpenSeg / V-01.05.01.00,उसकी,"है,",4
107907,OpenSeg / V-01.05.01.00,खड़ी,तय,4
107907,OpenSeg / V-01.05.01.00,रेखा,उसकी,4
107907,OpenSeg / V-01.05.01.00,गिर,खड़ी,4
107907,OpenSeg / V-01.05.01.00,जाती,रेखा,4
107907,OpenSeg / V-01.05.01.00,है।,गिर,3
107907,OpenSeg / V-01.05.01.00,कौर,जाती,4
107907,OpenSeg / V-01.05.01.00,जब,है,2
107907,OpenSeg / V-01.05.01.00,अपने,कीर,4
107907,OpenSeg / V-01.05.01.00,धर्मफे,जय,6
107907,OpenSeg / V-01.05.01.00,व्यञ्जनोंसे,अपने,9
107907,OpenSeg / V-01.05.01.00,मिलता,घर्गे,5
107907,OpenSeg / V-01.05.01.00,"है,",व्यननोंसे,9
107907,OpenSeg / V-01.05.01.00,तब,मिलता,4
107907,OpenSeg / V-01.05.01.00,भी,"है,",3
107907,OpenSeg / V-01.05.01.00,रूप,तय,3
107907,OpenSeg / V-01.05.01.00,इसी,भी,2
107907,OpenSeg / V-01.05.01.00,प्रकार,कय,5
107907,OpenSeg / V-01.05.01.00,बदल,इसी,3
107907,OpenSeg / V-01.05.01.00,जाता,प्रकार,5
107907,OpenSeg / V-01.05.01.00,है।,यदल,3
107907,OpenSeg / V-01.05.01.00,पर,जाता,4
107907,OpenSeg / V-01.05.01.00,उच्चारण,है,7
107907,OpenSeg / V-01.05.01.00,नके,पर,3
107907,OpenSeg / V-01.05.01.00,समान,उशारण,4
107907,OpenSeg / V-01.05.01.00,होता,नके,4
107907,OpenSeg / V-01.05.01.00,है;,समान,4
